func,paquete,rol,cut_start,cut_end,depende_de,afecta_a,notas
# Funciones categorizadas automáticamente: 154 (91.2%) 
# Distribución por paquete:
# - tz_legacy: 114 funciones (67.5%) - REQUIERE REFACTORING PRIORITARIO
# - tz_services: 17 funciones (10.1%)
# - tz_core: 11 funciones (6.5%)
# - tz_cli: 8 funciones (4.7%)
# - tz_kml: 6 funciones (3.6%)
# - tz_io: 6 funciones (3.6%)

# MÉTRICAS DE RIESGO
# DANGER ZONE: _wizard_qc_mapeo (382 líneas) - ALTA COMPLEJIDAD
# MEDIUM RISK: generar_kml (141 líneas), generar_informe_html (199 líneas)
# LOW RISK: Funciones facade y utilitarias (<50 líneas)

# PRÓXIMOS PASOS RECOMENDADOS
# 1. Sprint 1: Extraer tz_io y tz_cli (bajo riesgo, alta independencia)
# 2. Sprint 2: Extraer tz_kml (dependencias moderadas)
# 3. Sprint 3: Extraer tz_services (dependencias complejas)
# 4. Sprint 4: Refactorizar tz_legacy (114 funciones requieren análisis individual)
# 5. Sprint 5: Optimizar _wizard_qc_mapeo (DANGER ZONE)
